COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
1.04183532E10,,M/S 7/7->D,,M/S 1/7->A,C,,M/S 6/7->B,
1.01983396E10,,M/S 2/7->C,,M/S 1/7->A,D,,M/S 6/7->B,
1.06031954E10,,M/S 2/7->C,D,,M/S 1/7->A,,M/S 6/7->B,
1.03694828E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 1/7->A,,M/S 6/7->B,
1.02206013E10,,M/S 2/7->C,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.9613041E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 1/7->A,,M/S 6/7->B,
1.104077E10,,M/S 2/7->C,,M/S 1/7->A,,M/S 6/7->B,D,
1.11382692E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.6688394E9,,M/S 3/7->C,,M/S 1/7->A,D,,M/S 6/7->B,
1.03021507E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.7691873E9,,M/S 3/7->C,D,,M/S 1/7->A,,M/S 6/7->B,
9.6911022E9,,M/S 3/7->C,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.4318049E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 1/7->A,,M/S 6/7->B,
1.05112719E10,,M/S 3/7->C,,M/S 1/7->A,,M/S 6/7->B,D,
1.06087711E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.5088005E9,,M/S 4/7->C,,M/S 1/7->A,D,,M/S 6/7->B,
1.01421097E10,,M/S 2/7->D,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->B,
9.6799437E9,,M/S 3/7->D,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->B,
9.0635233E9,,M/S 4/7->C,D,,M/S 1/7->A,,M/S 6/7->B,
9.271765E9,,M/S 5/7->D,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->B,
1.0351231E10,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->B,D,
1.04487301E10,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->A,,M/S 6/7->B,
9.3393367E9,,M/S 5/7->C,,M/S 1/7->A,D,,M/S 6/7->B,
9.9726469E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.5104799E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 1/7->A,,M/S 6/7->B,
9.3615995E9,,M/S 5/7->C,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->B,
9.1023022E9,,M/S 5/7->C,D,,M/S 1/7->A,,M/S 6/7->B,
1.01817682E10,,M/S 5/7->C,,M/S 1/7->A,,M/S 6/7->B,D,
1.02792673E10,,M/S 5/7->C,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->B,
1.03485112E10,,M/S 1/7->A,D,,M/S 6/7->B,C,
1.09818204E10,,M/S 2/7->D,,M/S 1/7->A,,M/S 6/7->B,C,
1.05196544E10,,M/S 3/7->D,,M/S 1/7->A,,M/S 6/7->B,C,
1.0370773E10,,M/S 4/7->D,,M/S 1/7->A,,M/S 6/7->B,C,
1.01114757E10,,M/S 5/7->D,,M/S 1/7->A,,M/S 6/7->B,C,
1.12884408E10,,M/S 7/7->D,,M/S 1/7->A,,M/S 6/7->B,C,
