COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
9.1523645E9,,M/S 3/7->A,D,,M/S 5/7->C,,M/S 4/7->B,
8.6277939E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 4/7->B,D,
8.7689953E9,,M/S 3/7->A,,M/S 5/7->C,D,,M/S 4/7->B,
9.8484613E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 4/7->B,,M/S 6/7->D,
9.9459604E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->B,
1.00865505E10,,M/S 3/7->A,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.06485135E10,,M/S 3/7->A,,M/S 2/7->D,,M/S 4/7->B,,M/S 6/7->C,
1.01615391E10,,M/S 3/7->A,D,,M/S 4/7->B,,M/S 6/7->C,
9.6369684E9,,M/S 3/7->A,,M/S 4/7->B,D,,M/S 6/7->C,
9.7781688E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 4/7->B,,M/S 6/7->C,
1.08576348E10,,M/S 3/7->A,,M/S 4/7->B,,M/S 6/7->C,D,
1.0955134E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->C,
9.069865E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 1/7->C,D,
9.721815E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->D,,M/S 1/7->C,
9.2348396E9,,M/S 3/7->A,D,,M/S 5/7->B,,M/S 1/7->C,
9.1107666E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 4/7->D,,M/S 1/7->C,
8.8514703E9,,M/S 3/7->A,,M/S 5/7->B,D,,M/S 1/7->C,
9.9309363E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 1/7->C,,M/S 6/7->D,
1.00284355E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 7/7->D,,M/S 1/7->C,
9.8099139E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->C,,M/S 1/7->D,
1.01434225E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->C,D,
9.8849014E9,,M/S 3/7->A,D,,M/S 5/7->B,,M/S 2/7->C,
9.7608284E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->D,
9.5015322E9,,M/S 3/7->A,,M/S 5/7->B,D,,M/S 2/7->C,
1.05809981E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->C,,M/S 6/7->D,
1.06784973E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->D,
9.2559995E9,,M/S 3/7->A,C,,M/S 5/7->B,,M/S 1/7->D,
9.8179625E9,,M/S 3/7->A,C,,M/S 5/7->B,,M/S 2/7->D,
9.206914E9,,M/S 3/7->A,C,,M/S 5/7->B,,M/S 4/7->D,
8.9476178E9,,M/S 3/7->A,C,,M/S 5/7->B,D,
1.00270838E10,,M/S 3/7->A,C,,M/S 5/7->B,,M/S 6/7->D,
1.01245829E10,,M/S 3/7->A,C,,M/S 5/7->B,,M/S 7/7->D,
9.1203748E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 4/7->C,,M/S 1/7->D,
9.6823378E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->C,
9.1953623E9,,M/S 3/7->A,D,,M/S 5/7->B,,M/S 4/7->C,
8.6037504E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 4/7->C,D,
8.8119931E9,,M/S 3/7->A,,M/S 5/7->B,D,,M/S 4/7->C,
9.8914591E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 4/7->C,,M/S 6/7->D,
9.9889582E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->C,
8.950912E9,,M/S 3/7->A,,M/S 5/7->B,C,,M/S 1/7->D,
9.512874E9,,M/S 3/7->A,,M/S 5/7->B,C,,M/S 2/7->D,
9.0258995E9,,M/S 3/7->A,D,,M/S 5/7->B,C,
8.9018266E9,,M/S 3/7->A,,M/S 5/7->B,C,,M/S 4/7->D,
9.7219953E9,,M/S 3/7->A,,M/S 5/7->B,C,,M/S 6/7->D,
9.8194944E9,,M/S 3/7->A,,M/S 5/7->B,C,,M/S 7/7->D,
9.9600855E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.05220485E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 2/7->D,,M/S 6/7->C,
1.0035073E10,,M/S 3/7->A,D,,M/S 5/7->B,,M/S 6/7->C,
9.9110001E9,,M/S 3/7->A,,M/S 5/7->B,,M/S 4/7->D,,M/S 6/7->C,
9.6517038E9,,M/S 3/7->A,,M/S 5/7->B,D,,M/S 6/7->C,
1.07311698E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 6/7->C,D,
1.08286689E10,,M/S 3/7->A,,M/S 5/7->B,,M/S 7/7->D,,M/S 6/7->C,
9.6350495E9,,M/S 3/7->A,,M/S 1/7->C,D,,M/S 6/7->B,
1.02869985E10,,M/S 3/7->A,,M/S 2/7->D,,M/S 1/7->C,,M/S 6/7->B,
9.8000241E9,,M/S 3/7->A,D,,M/S 1/7->C,,M/S 6/7->B,
9.6759511E9,,M/S 3/7->A,,M/S 4/7->D,,M/S 1/7->C,,M/S 6/7->B,
9.4166538E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 1/7->C,,M/S 6/7->B,
1.04961198E10,,M/S 3/7->A,,M/S 1/7->C,,M/S 6/7->B,D,
1.05936189E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 1/7->C,,M/S 6/7->B,
1.03750984E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 1/7->D,,M/S 6/7->B,
1.0708607E10,,M/S 3/7->A,,M/S 2/7->C,D,,M/S 6/7->B,
1.04500859E10,,M/S 3/7->A,D,,M/S 2/7->C,,M/S 6/7->B,
1.03260129E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 4/7->D,,M/S 6/7->B,
1.00667156E10,,M/S 3/7->A,,M/S 5/7->D,,M/S 2/7->C,,M/S 6/7->B,
1.11461827E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 6/7->B,D,
1.12436818E10,,M/S 3/7->A,,M/S 2/7->C,,M/S 7/7->D,,M/S 6/7->B,
9.821183E9,,M/S 3/7->A,C,,M/S 1/7->D,,M/S 6/7->B,
1.0383146E10,,M/S 3/7->A,C,,M/S 2/7->D,,M/S 6/7->B,
9.7720986E9,,M/S 3/7->A,C,,M/S 4/7->D,,M/S 6/7->B,
9.5128013E9,,M/S 3/7->A,C,,M/S 5/7->D,,M/S 6/7->B,
1.05922673E10,,M/S 3/7->A,C,,M/S 6/7->B,D,
1.06897664E10,,M/S 3/7->A,C,,M/S 7/7->D,,M/S 6/7->B,
9.6855583E9,,M/S 3/7->A,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->B,
1.02475213E10,,M/S 3/7->A,,M/S 2/7->D,,M/S 4/7->C,,M/S 6/7->B,
9.7605468E9,,M/S 3/7->A,D,,M/S 4/7->C,,M/S 6/7->B,
9.1689339E9,,M/S 3/7->A,,M/S 4/7->C,D,,M/S 6/7->B,
9.3771766E9,,M/S 3/7->A,,M/S 5/7->D,,M/S 4/7->C,,M/S 6/7->B,
1.04566426E10,,M/S 3/7->A,,M/S 4/7->C,,M/S 6/7->B,D,
1.05541417E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 4/7->C,,M/S 6/7->B,
9.5160955E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 1/7->D,,M/S 6/7->B,
1.00780585E10,,M/S 3/7->A,,M/S 5/7->C,,M/S 2/7->D,,M/S 6/7->B,
9.591083E9,,M/S 3/7->A,D,,M/S 5/7->C,,M/S 6/7->B,
9.46701E9,,M/S 3/7->A,,M/S 5/7->C,,M/S 4/7->D,,M/S 6/7->B,
9.2077138E9,,M/S 3/7->A,,M/S 5/7->C,D,,M/S 6/7->B,
1.02871798E10,,M/S 3/7->A,,M/S 5/7->C,,M/S 6/7->B,D,
1.03846789E10,,M/S 3/7->A,,M/S 5/7->C,,M/S 7/7->D,,M/S 6/7->B,
1.0525269E10,,M/S 3/7->A,,M/S 1/7->D,,M/S 6/7->B,C,
1.1087232E10,,M/S 3/7->A,,M/S 2/7->D,,M/S 6/7->B,C,
1.06002575E10,,M/S 3/7->A,D,,M/S 6/7->B,C,
1.04761846E10,,M/S 3/7->A,,M/S 4/7->D,,M/S 6/7->B,C,
1.02168873E10,,M/S 3/7->A,,M/S 5/7->D,,M/S 6/7->B,C,
1.13938524E10,,M/S 3/7->A,,M/S 7/7->D,,M/S 6/7->B,C,
9.6324035E9,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->B,C,
9.1702374E9,,M/S 3/7->D,,M/S 4/7->A,,M/S 1/7->B,C,
8.613547E9,,M/S 4/7->A,D,,M/S 1/7->B,C,
8.7620588E9,,M/S 5/7->D,,M/S 4/7->A,,M/S 1/7->B,C,
9.8415247E9,,M/S 4/7->A,,M/S 1/7->B,C,,M/S 6/7->D,
9.9390239E9,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->B,C,
9.7412598E9,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->B,D,
1.01430047E10,,M/S 2/7->C,D,,M/S 4/7->A,,M/S 1/7->B,
9.9092931E9,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->B,
9.3526026E9,,M/S 2/7->C,,M/S 4/7->A,D,,M/S 1/7->B,
9.5011144E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->B,
1.05805804E10,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.06780795E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->B,
9.2117606E9,,M/S 3/7->C,,M/S 4/7->A,,M/S 1/7->B,D,
9.8419589E9,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->B,
9.3089976E9,,M/S 3/7->C,D,,M/S 4/7->A,,M/S 1/7->B,
8.8231025E9,,M/S 3/7->C,,M/S 4/7->A,D,,M/S 1/7->B,
8.9716142E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 4/7->A,,M/S 1/7->B,
1.00510802E10,,M/S 3/7->C,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.01485793E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->B,
8.6449172E9,,M/S 4/7->A,C,,M/S 1/7->B,D,
9.2751155E9,,M/S 2/7->D,,M/S 4/7->A,C,,M/S 1/7->B,
8.8129495E9,,M/S 3/7->D,,M/S 4/7->A,C,,M/S 1/7->B,
8.4047708E9,,M/S 5/7->D,,M/S 4/7->A,C,,M/S 1/7->B,
9.4842368E9,,M/S 4/7->A,C,,M/S 1/7->B,,M/S 6/7->D,
9.5817359E9,,M/S 7/7->D,,M/S 4/7->A,C,,M/S 1/7->B,
8.8822579E9,,M/S 5/7->C,,M/S 4/7->A,,M/S 1/7->B,D,
9.5124562E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->B,
9.0502902E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 4/7->A,,M/S 1/7->B,
8.4935997E9,,M/S 5/7->C,,M/S 4/7->A,D,,M/S 1/7->B,
8.6421115E9,,M/S 5/7->C,D,,M/S 4/7->A,,M/S 1/7->B,
9.7215775E9,,M/S 5/7->C,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->D,
9.8190766E9,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->B,
9.8914314E9,,M/S 4/7->A,,M/S 1/7->B,D,,M/S 6/7->C,
1.05216307E10,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.00594637E10,,M/S 3/7->D,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->C,
9.5027732E9,,M/S 4/7->A,D,,M/S 1/7->B,,M/S 6/7->C,
9.651286E9,,M/S 5/7->D,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.0730752E10,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->C,D,
1.08282511E10,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->B,,M/S 6/7->C,
9.8850365E9,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->C,D,
1.03888189E10,,M/S 2/7->B,D,,M/S 4/7->A,,M/S 1/7->C,
1.00748186E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->C,
9.5181281E9,,M/S 2/7->B,,M/S 4/7->A,D,,M/S 1/7->C,
9.6666399E9,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->C,
1.07461059E10,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.0843605E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->C,
1.04772014E10,,M/S 2/7->B,C,,M/S 4/7->A,,M/S 1/7->D,
1.05769974E10,,M/S 3/7->D,,M/S 2/7->B,C,,M/S 4/7->A,
1.00203069E10,,M/S 2/7->B,C,,M/S 4/7->A,D,
1.01688187E10,,M/S 5/7->D,,M/S 2/7->B,C,,M/S 4/7->A,
1.12482857E10,,M/S 2/7->B,C,,M/S 4/7->A,,M/S 6/7->D,
1.13457848E10,,M/S 2/7->B,C,,M/S 7/7->D,,M/S 4/7->A,
1.00955853E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->D,
1.05093816E10,,M/S 3/7->C,,M/S 2/7->B,D,,M/S 4/7->A,
1.0124585E10,,M/S 3/7->C,D,,M/S 2/7->B,,M/S 4/7->A,
9.6386908E9,,M/S 3/7->C,,M/S 2/7->B,,M/S 4/7->A,D,
9.7872026E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->A,
1.08666696E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 4/7->A,,M/S 6/7->D,
1.09641687E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->A,
9.5287419E9,,M/S 2/7->B,,M/S 4/7->A,C,,M/S 1/7->D,
9.9425382E9,,M/S 2/7->B,D,,M/S 4/7->A,C,
9.6285379E9,,M/S 3/7->D,,M/S 2/7->B,,M/S 4/7->A,C,
9.2203592E9,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->A,C,
1.02998262E10,,M/S 2/7->B,,M/S 4/7->A,C,,M/S 6/7->D,
1.03973253E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->A,C,
9.7660815E9,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->D,
1.01798789E10,,M/S 5/7->C,,M/S 2/7->B,D,,M/S 4/7->A,
9.8658775E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->A,
9.3091881E9,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->A,D,
9.4576998E9,,M/S 5/7->C,D,,M/S 2/7->B,,M/S 4/7->A,
1.05371658E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->A,,M/S 6/7->D,
1.0634665E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->A,
1.07752561E10,,M/S 2/7->B,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.11890524E10,,M/S 2/7->B,D,,M/S 4/7->A,,M/S 6/7->C,
1.0875052E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 4/7->A,,M/S 6/7->C,
1.03183616E10,,M/S 2/7->B,,M/S 4/7->A,D,,M/S 6/7->C,
1.04668733E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->A,,M/S 6/7->C,
1.15463393E10,,M/S 2/7->B,,M/S 4/7->A,,M/S 6/7->C,D,
1.16438385E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->C,
9.2161823E9,,M/S 3/7->B,,M/S 4/7->A,,M/S 1/7->C,D,
9.8681324E9,,M/S 3/7->B,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->C,
9.3819863E9,,M/S 3/7->B,D,,M/S 4/7->A,,M/S 1/7->C,
8.8492749E9,,M/S 3/7->B,,M/S 4/7->A,D,,M/S 1/7->C,
8.9977866E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 4/7->A,,M/S 1/7->C,
1.00772536E10,,M/S 3/7->B,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.01747528E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->C,
9.9562312E9,,M/S 3/7->B,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->D,
1.02897398E10,,M/S 3/7->B,,M/S 2/7->C,D,,M/S 4/7->A,
1.00320481E10,,M/S 3/7->B,D,,M/S 2/7->C,,M/S 4/7->A,
9.4993367E9,,M/S 3/7->B,,M/S 2/7->C,,M/S 4/7->A,D,
9.6478484E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->A,
1.07273155E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->D,
1.08248146E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,
9.3795625E9,,M/S 3/7->B,C,,M/S 4/7->A,,M/S 1/7->D,
9.9415245E9,,M/S 3/7->B,C,,M/S 2/7->D,,M/S 4/7->A,
8.922668E9,,M/S 3/7->B,C,,M/S 4/7->A,D,
9.0711798E9,,M/S 3/7->B,C,,M/S 5/7->D,,M/S 4/7->A,
1.01506458E10,,M/S 3/7->B,C,,M/S 4/7->A,,M/S 6/7->D,
1.02481449E10,,M/S 3/7->B,C,,M/S 7/7->D,,M/S 4/7->A,
8.8598886E9,,M/S 3/7->B,,M/S 4/7->A,C,,M/S 1/7->D,
9.4218506E9,,M/S 3/7->B,,M/S 2/7->D,,M/S 4/7->A,C,
8.9357056E9,,M/S 3/7->B,D,,M/S 4/7->A,C,
8.5515059E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 4/7->A,C,
9.6309719E9,,M/S 3/7->B,,M/S 4/7->A,C,,M/S 6/7->D,
9.728471E9,,M/S 3/7->B,,M/S 7/7->D,,M/S 4/7->A,C,
9.0972283E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 4/7->A,,M/S 1/7->D,
9.6591913E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->A,
9.1730463E9,,M/S 3/7->B,D,,M/S 5/7->C,,M/S 4/7->A,
8.6403348E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 4/7->A,D,
8.7888466E9,,M/S 3/7->B,,M/S 5/7->C,D,,M/S 4/7->A,
9.8683126E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 4/7->A,,M/S 6/7->D,
9.9658117E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->A,
1.01064028E10,,M/S 3/7->B,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.06683658E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->C,
1.01822198E10,,M/S 3/7->B,D,,M/S 4/7->A,,M/S 6/7->C,
9.6495084E9,,M/S 3/7->B,,M/S 4/7->A,D,,M/S 6/7->C,
9.7980201E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 4/7->A,,M/S 6/7->C,
1.08774871E10,,M/S 3/7->B,,M/S 4/7->A,,M/S 6/7->C,D,
1.09749862E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->C,
8.6549074E9,,M/S 4/7->A,B,,M/S 1/7->C,D,
9.3068554E9,,M/S 2/7->D,,M/S 4/7->A,B,,M/S 1/7->C,
8.8446894E9,,M/S 3/7->D,,M/S 4/7->A,B,,M/S 1/7->C,
8.4365107E9,,M/S 5/7->D,,M/S 4/7->A,B,,M/S 1/7->C,
9.5159767E9,,M/S 4/7->A,B,,M/S 1/7->C,,M/S 6/7->D,
9.6134758E9,,M/S 7/7->D,,M/S 4/7->A,B,,M/S 1/7->C,
9.3949553E9,,M/S 2/7->C,,M/S 4/7->A,B,,M/S 1/7->D,
9.7284639E9,,M/S 2/7->C,D,,M/S 4/7->A,B,
9.4947512E9,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->A,B,
9.0865725E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->A,B,
1.01660385E10,,M/S 2/7->C,,M/S 4/7->A,B,,M/S 6/7->D,
1.02635377E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,B,
8.8654561E9,,M/S 3/7->C,,M/S 4/7->A,B,,M/S 1/7->D,
9.4274191E9,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->A,B,
8.8944558E9,,M/S 3/7->C,D,,M/S 4/7->A,B,
8.5570734E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 4/7->A,B,
9.6365404E9,,M/S 3/7->C,,M/S 4/7->A,B,,M/S 6/7->D,
9.7340396E9,,M/S 3/7->C,,M/S 7/7->D,,M/S 4/7->A,B,
8.5359524E9,,M/S 5/7->C,,M/S 4/7->A,B,,M/S 1/7->D,
9.0979154E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->A,B,
8.6357484E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 4/7->A,B,
8.2275707E9,,M/S 5/7->C,D,,M/S 4/7->A,B,
9.3070367E9,,M/S 5/7->C,,M/S 4/7->A,B,,M/S 6/7->D,
9.4045358E9,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->A,B,
9.5451269E9,,M/S 4/7->A,B,,M/S 1/7->D,,M/S 6/7->C,
1.01070889E10,,M/S 2/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
9.6449229E9,,M/S 3/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
9.2367442E9,,M/S 5/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
1.03162102E10,,M/S 4/7->A,B,,M/S 6/7->C,D,
1.04137093E10,,M/S 7/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
8.9177743E9,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->C,D,
9.5697234E9,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->C,
9.1075564E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->C,
8.5508659E9,,M/S 5/7->B,,M/S 4/7->A,D,,M/S 1/7->C,
8.6993787E9,,M/S 5/7->B,D,,M/S 4/7->A,,M/S 1/7->C,
9.7788447E9,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->D,
9.8763438E9,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->C,
9.6578232E9,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->D,
9.9913318E9,,M/S 5/7->B,,M/S 2/7->C,D,,M/S 4/7->A,
9.7576192E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,
9.2009288E9,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,D,
9.3494405E9,,M/S 5/7->B,D,,M/S 2/7->C,,M/S 4/7->A,
1.04289075E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->D,
1.05264067E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,
9.1283231E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->D,
9.6902861E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,
9.1573238E9,,M/S 3/7->C,D,,M/S 5/7->B,,M/S 4/7->A,
8.6714286E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->A,D,
8.8199414E9,,M/S 3/7->C,,M/S 5/7->B,D,,M/S 4/7->A,
9.8994074E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->A,,M/S 6/7->D,
9.9969065E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,
8.5614797E9,,M/S 5/7->B,,M/S 4/7->A,C,,M/S 1/7->D,
9.1234427E9,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,C,
8.6612756E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->A,C,
8.2530975E9,,M/S 5/7->B,D,,M/S 4/7->A,C,
9.332564E9,,M/S 5/7->B,,M/S 4/7->A,C,,M/S 6/7->D,
9.4300631E9,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,C,
8.7988204E9,,M/S 5/7->B,C,,M/S 4/7->A,,M/S 1/7->D,
9.3607834E9,,M/S 5/7->B,C,,M/S 2/7->D,,M/S 4/7->A,
8.8986163E9,,M/S 3/7->D,,M/S 5/7->B,C,,M/S 4/7->A,
8.3419259E9,,M/S 5/7->B,C,,M/S 4/7->A,D,
9.5699046E9,,M/S 5/7->B,C,,M/S 4/7->A,,M/S 6/7->D,
9.6674038E9,,M/S 5/7->B,C,,M/S 7/7->D,,M/S 4/7->A,
9.8079939E9,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.03699569E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->C,
9.9077898E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->A,,M/S 6/7->C,
9.3510994E9,,M/S 5/7->B,,M/S 4/7->A,D,,M/S 6/7->C,
9.4996122E9,,M/S 5/7->B,D,,M/S 4/7->A,,M/S 6/7->C,
1.05790781E10,,M/S 5/7->B,,M/S 4/7->A,,M/S 6/7->C,D,
1.06765773E10,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->C,
9.4829578E9,,M/S 4/7->A,,M/S 1/7->C,D,,M/S 6/7->B,
1.01349069E10,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
9.6727398E9,,M/S 3/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
9.1160504E9,,M/S 4/7->A,D,,M/S 1/7->C,,M/S 6/7->B,
9.2645622E9,,M/S 5/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.03440282E10,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,D,
1.04415273E10,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.02230067E10,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.05565143E10,,M/S 2/7->C,D,,M/S 4/7->A,,M/S 6/7->B,
1.03228027E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->B,
9.7661123E9,,M/S 2/7->C,,M/S 4/7->A,D,,M/S 6/7->B,
9.914624E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->B,
1.099409E10,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->B,D,
1.10915891E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->B,
9.6935066E9,,M/S 3/7->C,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.02554685E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->B,
